node_id_from	node_id_to	weight
1225662747	1225662748	0.000245
299206174	299206175	0.000245
159862187	159862109	0.000245
278023523	278023522	0.000246
287864630	159884567	0.000246
284155564	141898890	0.000246
141903961	141903954	0.000246
278023522	278023521	0.000246
301736726	301736727	0.000246
284790339	284959144	0.000247
299210234	299210232	0.000247
290470346	159950553	0.000247
159869577	159870650	0.000247
301736191	301736190	0.000247
159858933	159858987	0.000248
284959149	290470327	0.000248
1285445547	1285445546	0.000248
159870527	159870199	0.000249
99304085	99304074	0.000249
278023528	278023529	0.000250
1253231897	1253231898	0.000250
298728304	298728303	0.000251
301736768	301736769	0.000251
298728303	298728292	0.000251
141903960	141903994	0.000251
298728285	298728284	0.000251
141898878	141898881	0.000252
298943024	298935560	0.000252
1327777189	1327777188	0.000253
299206205	299206202	0.000254
159870076	288174891	0.000254
279021766	159935583	0.000254
159709056	159739448	0.000254
301736399	301736400	0.000255
299211823	299211824	0.000255
284161428	284161427	0.000255
1264822892	1264822894	0.000255
301737098	301737097	0.000255
287864632	287864630	0.000256
159494312	1229743660	0.000256
159870753	159870677	0.000256
1218510098	1218510097	0.000256
159869809	287832390	0.000257
287702357	287702395	0.000257
159799865	159799886	0.000257
298728286	298458283	0.000258
159870224	159870041	0.000258
159870373	159870316	0.000258
284169010	159898170	0.000258
159869918	159869491	0.000258
299210222	299210224	0.000259
298462848	298462853	0.000259
159798198	159798136	0.000259
1253231907	1253231894	0.000259
140964617	140964650	0.000259
160039083	160038050	0.000259
287718406	1285411592	0.000259
159884511	159884096	0.000260
1285445545	1285445546	0.000260
159884143	159884096	0.000260
290470351	290470350	0.000260
299206172	299206171	0.000260
140964570	140964563	0.000261
140964400	140964617	0.000261
286841744	286841742	0.000261
159869674	288189793	0.000261
298728295	298728294	0.000261
159799937	159798307	0.000262
160909152	160909146	0.000262
298728308	298728309	0.000262
284248846	159861878	0.000262
297845529	297845530	0.000262
159950638	159950555	0.000263
159884116	159884020	0.000263
284161425	284161426	0.000263
159869979	159870297	0.000264
159862057	159862015	0.000264
301736921	301736918	0.000264
159870180	159870568	0.000264
159870124	159869759	0.000264
140964562	140964419	0.000264
1298909854	1298909856	0.000264
159858929	159858693	0.000265
159869624	159870055	0.000265
159950473	159950481	0.000266
301736186	301736764	0.000266
159800040	284161425	0.000266
159798188	159798367	0.000266
298728291	298728290	0.000266
273454807	100420326	0.000267
296984732	160916760	0.000267
96474004	96474034	0.000267
159870423	159870718	0.000267
290627717	290627716	0.000267
299210231	299210234	0.000268
726041378	726041377	0.000268
159870709	159870652	0.000269
159709246	159589954	0.000269
284191244	284191243	0.000269
159870241	159870550	0.000269
159870032	159870618	0.000270
298728305	298728306	0.000270
290470346	159950460	0.000270
17394445	791294584	0.000270
99304185	99304233	0.000270
159870026	159870327	0.000270
159800056	159898592	0.000270
140964479	140964377	0.000271
159870744	159870076	0.000271
298728291	298728287	0.000271
301736467	301736466	0.000271
159870808	159869979	0.000272
159870683	159870479	0.000272
159870533	159870760	0.000272
288210327	159869918	0.000272
141900299	141900312	0.000272
298728313	298728304	0.000273
99304180	99304138	0.000273
159862080	159861701	0.000273
159870280	159870764	0.000274
859468954	159914896	0.000274
159869555	159869446	0.000274
299210228	299210227	0.000274
160909005	160909208	0.000274
94514411	87366473	0.000274
159870683	159870633	0.000275
1264822886	1264822894	0.000275
277805990	159933039	0.000275
87384456	87384404	0.000275
284790348	284790344	0.000276
159883908	159884104	0.000276
159862049	159862189	0.000276
159870512	159870366	0.000276
159869775	159870123	0.000276
159870280	159870306	0.000276
159883835	287864635	0.000276
160027372	283924079	0.000277
160909268	160909081	0.000277
159914559	276689619	0.000278
301737098	301736982	0.000278
306341167	306341168	0.000278
159858773	159858987	0.000278
159884451	287864630	0.000278
159939945	159939643	0.000278
140964653	140964642	0.000278
791385077	159869494	0.000278
140964428	140964404	0.000278
288210328	159870011	0.000278
1425431342	1425431338	0.000279
159194171	159193021	0.000279
160033007	160032486	0.000279
